level_code,activity_id,module_id,day_number,activity_type,prompt_text,subtopic_id,resource_urls
EM7,em7_m1_d7_curr3_main,em7_m1,7,curriculum_block,FAL,em7_m1_s6,"{""block_position"": ""special_case_50""}"
EM7,em7_m1_d7_curr3_paper,em7_m1,7,curriculum_block,Create 'Swapping Cards' Examples,em7_m1_s6,"{""block_position"": ""special_case_50"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d8_welcome,em7_m1,8,welcome,Which One Doesn't Belong? Day 8,,{}
EM7,em7_m1_d8_wod,em7_m1,8,word_of_day,Direct Variation,em7_m1_s7,{}
EM7,em7_m1_d8_dt,em7_m1,8,dot_talk,Dot Talk #8,,{}
EM7,em7_m1_d8_curr1_main,em7_m1,8,curriculum_block,FAL,em7_m1_s7,"{""block_position"": ""curriculum_30_first""}"
EM7,em7_m1_d8_curr1_paper,em7_m1,8,curriculum_block,Swapping Cards,em7_m1_s7,"{""block_position"": ""curriculum_30_first"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d8_mt,em7_m1,8,math_talk,2 Truths and 1 Lie,em7_m1_s7,{}
EM7,em7_m1_d8_gm,em7_m1,8,growth_mindset,Lesson 8,,{}
EM7,em7_m1_d8_curr2_main,em7_m1,8,curriculum_block,FAL,em7_m1_s7,"{""block_position"": ""curriculum_30_second""}"
EM7,em7_m1_d8_curr2_paper,em7_m1,8,curriculum_block,Debrief and Re-engagement,em7_m1_s7,"{""block_position"": ""curriculum_30_second"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d8_curr3_main,em7_m1,8,curriculum_block,FAL,em7_m1_s7,"{""block_position"": ""special_case_50""}"
EM7,em7_m1_d8_curr3_paper,em7_m1,8,curriculum_block,Post Assessment,em7_m1_s7,"{""block_position"": ""special_case_50"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d8_post,em7_m1,8,post_assessment,Module 1 FAL Post Assessment,,{}
EM7,em7_m2_d11_welcome,em7_m2,11,welcome,Which One Doesn't Belong? Day 11,,{}
EM7,em7_m2_d11_wod,em7_m2,11,word_of_day,Vertical,em7_m2_s1,{}
EM7,em7_m2_d11_nt,em7_m2,11,number_talk,50% of 20,,{}
EM7,em7_m2_d11_curr1_main,em7_m2,11,curriculum_block,FAL: Pre-Assessment,em7_m2_s1,"{""block_position"": ""curriculum_30_first""}"
EM7,em7_m2_d11_curr1_paper,em7_m2,11,curriculum_block,Positive and Negative Numbers,em7_m2_s1,"{""block_position"": ""curriculum_30_first"", ""format"": ""task_or_paper""}"
